"long","lat","unique_squirrel_id","shift","date","age","primary_fur_color","activities","interaction","lat_long"
-73.9666113598566,40.7752662550312,"14H-PM-1012-05","PM",10122018,"Adult","Gray","eating","approaches","POINT (-73.9666113598566 40.7752662550312)"
-73.9706533131129,40.768902033819,"6I-AM-1006-01","AM",10062018,"Adult","Gray","running","runs away","POINT (-73.9706533131129 40.768902033819)"
-73.970804709441,40.7758611111219,"13E-PM-1008-01","PM",10082018,"Adult","Gray","eating","indifferent","POINT (-73.970804709441 40.7758611111219)"
-73.9574077497624,40.8001185184892,"42B-AM-1014-01","AM",10142018,"Adult","Gray","climbing","indifferent","POINT (-73.9574077497624 40.8001185184892)"
-73.9760749752948,40.7703284894392,"5D-PM-1018-02","PM",10182018,"Adult","Gray","eating","runs away","POINT (-73.9760749752948 40.7703284894392)"
-73.9582534432858,40.7917772296796,"34F-PM-1012-01","PM",10122018,"Adult","Gray","foraging","indifferent","POINT (-73.9582534432858 40.7917772296796)"
-73.9766779585686,40.7669673778105,"2E-AM-1010-04","AM",10102018,"Juvenile","Gray","eating","indifferent","POINT (-73.9766779585686 40.7669673778105)"
-73.9721279808683,40.7661158663901,"3I-PM-1013-02","PM",10132018,"Adult","Cinnamon","foraging","indifferent","POINT (-73.9721279808683 40.7661158663901)"
-73.971685475224,40.7706668465923,"7G-PM-1018-07","PM",10182018,"Adult","Gray","foraging","indifferent","POINT (-73.971685475224 40.7706668465923)"
-73.9729645190377,40.7723310150843,"9E-AM-1008-02","AM",10082018,"Adult","Gray","eating","indifferent","POINT (-73.9729645190377 40.7723310150843)"
-73.9748669205206,40.7743879232016,"10B-AM-1006-01","AM",10062018,"Adult","Gray","running","runs away","POINT (-73.9748669205206 40.7743879232016)"
-73.961241953418,40.7941677113011,"35B-PM-1013-07","PM",10132018,"Adult","Gray","running","approaches","POINT (-73.961241953418 40.7941677113011)"
-73.9728511531484,40.7782654840595,"14B-PM-1014-03","PM",10142018,"Adult","Gray","foraging","runs away","POINT (-73.9728511531484 40.7782654840595)"
-73.9763852372393,40.768876248561,"4D-AM-1012-02","AM",10122018,"Adult","Gray","climbing","indifferent","POINT (-73.9763852372393 40.768876248561)"
-73.9696196840065,40.7836431098335,"21A-AM-1019-09","AM",10192018,"Adult","Gray","foraging","indifferent","POINT (-73.9696196840065 40.7836431098335)"
-73.9601968065017,40.7935831836482,"34C-PM-1012-03","PM",10122018,"Adult","Gray","running","indifferent","POINT (-73.9601968065017 40.79358318364821)"
-73.9772810073685,40.7693577540392,"4C-PM-1010-03","PM",10102018,"Adult","Cinnamon","chasing","indifferent","POINT (-73.9772810073685 40.7693577540392)"
-73.9561124892063,40.7949440648632,"37E-AM-1013-04","AM",10132018,"Adult","Gray","climbing","runs away","POINT (-73.9561124892063 40.7949440648632)"
-73.9555856074105,40.7969457685677,"40E-AM-1014-04","AM",10142018,"Adult","Gray","running","indifferent","POINT (-73.9555856074105 40.79694576856771)"
-73.9753818829907,40.7697840986163,"5D-PM-1018-06","PM",10182018,"Adult","Gray","foraging","indifferent","POINT (-73.9753818829907 40.7697840986163)"
-73.9715621134573,40.7695918717513,"7H-AM-1006-02","AM",10062018,"Adult","Gray","running","indifferent","POINT (-73.9715621134573 40.76959187175131)"
-73.9714242426496,40.7744535798123,"11E-PM-1012-05","PM",10122018,"Adult","Gray","running","indifferent","POINT (-73.9714242426496 40.7744535798123)"
-73.9697744662785,40.7755950428973,"13F-AM-1007-04","AM",10072018,"Adult","Cinnamon","eating","indifferent","POINT (-73.9697744662785 40.7755950428973)"
-73.9545037193355,40.7900225055417,"33I-PM-1006-04","PM",10062018,"Adult","Gray","running","indifferent","POINT (-73.9545037193355 40.7900225055417)"
-73.9714329979305,40.7741873388945,"11E-PM-1012-04","PM",10122018,"Adult","Gray","foraging","indifferent","POINT (-73.9714329979305 40.7741873388945)"
-73.956926909344,40.7965323262487,"39D-PM-1012-03","PM",10122018,"Adult","Gray","running","runs away","POINT (-73.956926909344 40.7965323262487)"
-73.9584064203778,40.7912272455454,"33F-PM-1012-04","PM",10122018,"Adult","Gray","running","runs away","POINT (-73.9584064203778 40.7912272455454)"
-73.9630097276366,40.7936658446251,"33A-PM-1018-04","PM",10182018,"Adult","Gray","foraging","indifferent","POINT (-73.9630097276366 40.79366584462511)"
-73.9720289863666,40.7763749561607,"13C-PM-1019-03","PM",10192018,"Adult","Gray","running","runs away","POINT (-73.97202898636661 40.7763749561607)"
